Data Table for Total Cases - New York City*
Date generated: Mon Sep 27 2021 10:01:22 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
New York City,Jun 22 2020,215354
New York City,Jun 21 2020,215135
New York City,Jun 20 2020,214750
New York City,Jun 19 2020,214364
New York City,Jun 18 2020,213994
New York City,Jun 17 2020,213557
New York City,Jun 16 2020,213158
New York City,Jun 15 2020,212964
New York City,Jun 14 2020,212755
New York City,Jun 13 2020,212328
New York City,Jun 12 2020,211945
New York City,Jun 11 2020,211561
New York City,Jun 10 2020,211131
New York City,Jun  9 2020,210658
New York City,Jun  8 2020,210448
New York City,Jun  7 2020,210194
New York City,Jun  6 2020,209777
New York City,Jun  5 2020,209243
New York City,Jun  4 2020,208725
New York City,Jun  3 2020,208145
New York City,Jun  2 2020,207448
New York City,Jun  1 2020,207210
New York City,May 31 2020,206857
New York City,May 30 2020,206202
New York City,May 29 2020,205551
New York City,May 28 2020,204803
New York City,May 27 2020,203743
New York City,May 26 2020,203273
New York City,May 25 2020,202802
New York City,May 24 2020,202343
New York City,May 23 2020,201295
New York City,May 22 2020,200219
New York City,May 21 2020,199137
New York City,May 20 2020,198125
New York City,May 19 2020,197222
New York City,May 18 2020,196852
New York City,May 17 2020,196349
New York City,May 16 2020,195465
New York City,May 15 2020,194339
New York City,May 14 2020,192997
New York City,May 13 2020,191700
New York City,May 12 2020,190455
New York City,May 11 2020,189986
New York City,May 10 2020,189320
New York City,May  9 2020,188219
New York City,May  8 2020,186963
New York City,May  7 2020,185537
New York City,May  6 2020,184008
New York City,May  5 2020,182424
New York City,May  4 2020,181609
New York City,May  3 2020,180518
New York City,May  2 2020,178594
New York City,May  1 2020,176544
New York City,Apr 30 2020,174169
New York City,Apr 29 2020,171412
New York City,Apr 28 2020,169077
New York City,Apr 27 2020,168023
New York City,Apr 26 2020,166375
New York City,Apr 25 2020,163783
New York City,Apr 24 2020,160863
New York City,Apr 23 2020,157334
New York City,Apr 22 2020,154179
New York City,Apr 21 2020,150293
New York City,Apr 20 2020,147860
New York City,Apr 19 2020,145573
New York City,Apr 18 2020,141897
New York City,Apr 17 2020,138230
New York City,Apr 16 2020,134250
New York City,Apr 15 2020,129965
New York City,Apr 14 2020,126469
New York City,Apr 13 2020,123407
New York City,Apr 12 2020,119503
New York City,Apr 11 2020,114812
New York City,Apr 10 2020,109547
New York City,Apr  9 2020,103771
New York City,Apr  8 2020,97513
New York City,Apr  7 2020,90935
New York City,Apr  6 2020,86981
New York City,Apr  5 2020,82929
New York City,Apr  4 2020,77094
New York City,Apr  3 2020,71178
New York City,Apr  2 2020,65628
New York City,Apr  1 2020,60084
New York City,Mar 31 2020,53869
New York City,Mar 30 2020,50246
New York City,Mar 29 2020,46715
New York City,Mar 28 2020,41557
New York City,Mar 27 2020,36469
New York City,Mar 26 2020,31577
New York City,Mar 25 2020,27065
New York City,Mar 24 2020,23481
New York City,Mar 23 2020,20897
New York City,Mar 22 2020,18253
New York City,Mar 21 2020,14243
New York City,Mar 20 2020,10532
New York City,Mar 19 2020,7556
New York City,Mar 18 2020,5101
New York City,Mar 17 2020,2979
New York City,Mar 16 2020,1944
New York City,Mar 15 2020,1301
New York City,Mar 14 2020,682
New York City,Mar 13 2020,327
New York City,Mar 12 2020,172
New York City,Mar 11 2020,103
New York City,Mar 10 2020,46
New York City,Mar  9 2020,25
New York City,Mar  8 2020,18
New York City,Mar  7 2020,10
New York City,Mar  6 2020,7
New York City,Mar  5 2020,2
New York City,Mar  4 2020,1
New York City,Mar  3 2020,1
New York City,Mar  2 2020,1
New York City,Mar  1 2020,0
New York City,Feb 29 2020,0
New York City,Feb 28 2020,0
New York City,Feb 27 2020,0
New York City,Feb 26 2020,0
New York City,Feb 25 2020,0
New York City,Feb 24 2020,0
New York City,Feb 23 2020,0
New York City,Feb 22 2020,0
New York City,Feb 21 2020,0
New York City,Feb 20 2020,0
New York City,Feb 19 2020,0
New York City,Feb 18 2020,0
New York City,Feb 17 2020,0
New York City,Feb 16 2020,0
New York City,Feb 15 2020,0
New York City,Feb 14 2020,0
New York City,Feb 13 2020,0
New York City,Feb 12 2020,0
New York City,Feb 11 2020,0
New York City,Feb 10 2020,0
New York City,Feb  9 2020,0
New York City,Feb  8 2020,0
New York City,Feb  7 2020,0
New York City,Feb  6 2020,0
New York City,Feb  5 2020,0
New York City,Feb  4 2020,0
New York City,Feb  3 2020,0
New York City,Feb  2 2020,0
New York City,Feb  1 2020,0
New York City,Jan 31 2020,0
New York City,Jan 30 2020,0
New York City,Jan 29 2020,0
New York City,Jan 28 2020,0
New York City,Jan 27 2020,0
New York City,Jan 26 2020,0
New York City,Jan 25 2020,0
New York City,Jan 24 2020,0
New York City,Jan 23 2020,0
