Data Table for Total Cases - New Jersey
Date generated: Mon Sep 27 2021 02:34:08 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
New Jersey,Oct  2 2020,212134
New Jersey,Oct  1 2020,211299
New Jersey,Sep 30 2020,210588
New Jersey,Sep 29 2020,209774
New Jersey,Sep 28 2020,209206
New Jersey,Sep 27 2020,208549
New Jersey,Sep 26 2020,207790
New Jersey,Sep 25 2020,206974
New Jersey,Sep 24 2020,206348
New Jersey,Sep 23 2020,205707
New Jersey,Sep 22 2020,205217
New Jersey,Sep 21 2020,204711
New Jersey,Sep 20 2020,204234
New Jersey,Sep 19 2020,203737
New Jersey,Sep 18 2020,203239
New Jersey,Sep 17 2020,202701
New Jersey,Sep 16 2020,202070
New Jersey,Sep 15 2020,201616
New Jersey,Sep 14 2020,201124
New Jersey,Sep 13 2020,200736
New Jersey,Sep 12 2020,200405
New Jersey,Sep 11 2020,199929
New Jersey,Sep 10 2020,199399
New Jersey,Sep  9 2020,198924
New Jersey,Sep  8 2020,198535
New Jersey,Sep  7 2020,198189
New Jersey,Sep  6 2020,197825
New Jersey,Sep  5 2020,197486
New Jersey,Sep  4 2020,197119
New Jersey,Sep  3 2020,196611
New Jersey,Sep  2 2020,196189
New Jersey,Sep  1 2020,195843
New Jersey,Aug 31 2020,195470
New Jersey,Aug 30 2020,195070
New Jersey,Aug 29 2020,194756
New Jersey,Aug 28 2020,194384
New Jersey,Aug 27 2020,193981
New Jersey,Aug 26 2020,193632
New Jersey,Aug 25 2020,193295
New Jersey,Aug 24 2020,192948
New Jersey,Aug 23 2020,192670
New Jersey,Aug 22 2020,192380
New Jersey,Aug 21 2020,191935
New Jersey,Aug 20 2020,191605
New Jersey,Aug 19 2020,191470
New Jersey,Aug 18 2020,191099
New Jersey,Aug 17 2020,190717
New Jersey,Aug 16 2020,190357
New Jersey,Aug 15 2020,190041
New Jersey,Aug 14 2020,190004
New Jersey,Aug 13 2020,189389
New Jersey,Aug 12 2020,188697
New Jersey,Aug 11 2020,188179
New Jersey,Aug 10 2020,187705
New Jersey,Aug  9 2020,187401
New Jersey,Aug  8 2020,187037
New Jersey,Aug  7 2020,186646
New Jersey,Aug  6 2020,186241
New Jersey,Aug  5 2020,185824
New Jersey,Aug  4 2020,185421
New Jersey,Aug  3 2020,185030
New Jersey,Aug  2 2020,184719
New Jersey,Aug  1 2020,184369
New Jersey,Jul 31 2020,183964
New Jersey,Jul 30 2020,183217
New Jersey,Jul 29 2020,182977
New Jersey,Jul 28 2020,182471
