,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,mean_train_Accuracy,std_train_Accuracy
54,6.986773729324341,0.022931856258537872,0.9386490186055502,0.04296890646955107,15,1000,"{'max_depth': 15, 'n_estimators': 1000}",0.8561994288434079,0.8917360116917205,0.8408494392746361,0.8629282932699215,0.02131226603691863,23,1.0,0.9999981383295603,0.9999739366138449,0.9999906916478017,1.1871950875265371e-05,0.7752043596730245,0.82537517053206,0.7735334242837654,0.7913709848296167,0.024054264905742608,19,0.9986357435197817,0.9979550102249489,0.9986366734832992,0.9984091424093432,0.0003211201715714563
75,0.6938053766886393,0.008097029943048617,0.0975641409556071,0.005133365160447042,30,100,"{'max_depth': 30, 'n_estimators': 100}",0.8560209424083769,0.8918888690050109,0.8408307981388691,0.8629135365174189,0.021406580612932866,24,1.0,1.0,1.0,1.0,0.0,0.7861035422343324,0.8130968622100955,0.7776261937244202,0.7922755327229494,0.015124200929831026,16,1.0,1.0,0.9993183367416496,0.9997727789138832,0.0003213391416435215
62,1.4012706279754639,0.03792644023645437,0.19773968060811362,0.006341905669496314,25,200,"{'max_depth': 25, 'n_estimators': 200}",0.8562328950499762,0.8884328024337866,0.8440184323550466,0.8628947099462699,0.018733995848139805,25,1.0,1.0,0.9999999999999999,1.0,6.409875621278546e-17,0.7833787465940054,0.8158253751705321,0.7844474761255116,0.7945505326300163,0.015049911174614555,9,1.0,1.0,1.0,1.0,0.0
61,0.712486187616984,0.03224796962758832,0.10022544860839844,0.00634589980424894,25,100,"{'max_depth': 25, 'n_estimators': 100}",0.8559577284626367,0.8912513421617754,0.8408419828203293,0.8626836844815804,0.021121943417219503,26,1.0,1.0,1.0,1.0,0.0,0.7874659400544959,0.8171896316507503,0.7776261937244202,0.7940939218098887,0.01681792717608227,10,1.0,1.0,0.9993183367416496,0.9997727789138832,0.0003213391416435215
55,8.327577590942383,0.014504729680762258,1.1424793402353923,0.020959577868762208,15,1200,"{'max_depth': 15, 'n_estimators': 1200}",0.8556044740599715,0.8912587986160821,0.8411066869482223,0.8626566532080919,0.021073023817814396,27,1.0,0.9999981383295603,0.9999813832956034,0.9999931738750546,8.371769110230581e-06,0.773841961852861,0.82537517053206,0.7776261937244202,0.7922811087031137,0.023451976447882016,14,0.9986357435197817,0.9979550102249489,0.9986366734832992,0.9984091424093432,0.0003211201715714563
48,1.3712291717529297,0.011072936269989009,0.19224071502685547,0.007988673098874993,15,200,"{'max_depth': 15, 'n_estimators': 200}",0.853655997144217,0.8903602958721069,0.8401709019327129,0.861395731649679,0.021208039885260436,28,1.0,0.9999962766591206,0.9999497348981294,0.9999820038524166,2.2868171110668327e-05,0.7670299727520435,0.8130968622100955,0.7735334242837654,0.7845534197486348,0.020357141271462143,35,0.9993178717598908,0.9979550102249489,0.9972733469665985,0.9981820763171462,0.0008499763389906863
59,0.3489786783854167,0.012572218410326045,0.06103285153706869,0.004965781724181022,25,50,"{'max_depth': 25, 'n_estimators': 50}",0.8576012910518801,0.8847045752803628,0.8397980792173705,0.8607013151832045,0.018463585050489374,29,1.0,1.0,0.9999962766591207,0.9999987588863736,1.7551997229387785e-06,0.784741144414169,0.8117326057298773,0.7653478854024557,0.7872738785155007,0.019020981861868846,29,1.0,1.0,0.9993183367416496,0.9997727789138832,0.0003213391416435215
73,0.35599422454833984,0.007791674167187746,0.06867249806722005,0.01088130417316369,30,50,"{'max_depth': 30, 'n_estimators': 50}",0.8577388743455497,0.8847269446432832,0.8394886363636364,0.8606514851174897,0.01858294218062551,30,1.0,1.0,0.9999962766591207,0.9999987588863736,1.7551997229387785e-06,0.784741144414169,0.8076398362892224,0.7639836289222374,0.7854548698752096,0.01782971608378558,32,1.0,1.0,0.9993183367416496,0.9997727789138832,0.0003213391416435215
46,0.5235429604848226,0.01297857405965886,0.07802653312683105,0.0048343112536249075,15,75,"{'max_depth': 15, 'n_estimators': 75}",0.8564969062351261,0.88938350035791,0.8343958780720592,0.8600920948883651,0.022592088397668984,31,0.9999701741827726,0.999962766591207,0.9999013314666985,0.9999447574135593,3.0855337180387386e-05,0.779291553133515,0.8090040927694406,0.7667121418826739,0.785002595928543,0.017731596747184674,34,0.9972714870395635,0.9952283571915473,0.994546693933197,0.9956821793881026,0.0011577536605255057
47,0.7064405282338461,0.022921665891489005,0.10025183359781902,0.007242852623110782,15,100,"{'max_depth': 15, 'n_estimators': 100}",0.8539348821989529,0.8895512705798139,0.8365768909568122,0.8600210145785264,0.02205072908268179,32,0.9999944076592698,0.9999851066364829,0.9999404265459311,0.9999733136138946,2.3562635472981896e-05,0.7806539509536785,0.8158253751705321,0.762619372442019,0.7863662328554099,0.022093623589628308,31,0.9979536152796725,0.9965916837082481,0.9959100204498977,0.9968184398126061,0.0008495621245552602
72,0.18872857093811035,0.011101098466398021,0.05366142590840658,0.004710898127650392,30,25,"{'max_depth': 30, 'n_estimators': 25}",0.8557271834840552,0.8828031794321165,0.8371659508470531,0.858565437921075,0.018739102155978158,33,0.9999599215581008,0.9999422882163708,0.9999581124151078,0.9999534407298598,7.92052891475076e-06,0.7806539509536785,0.8117326057298773,0.7735334242837654,0.7886399936557736,0.016585677040105235,25,0.9965893587994543,0.9952283571915473,0.9965916837082481,0.9961364665664166,0.000642130998496048
