State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Jun 14 2020,19641,22353,0
United States,Jun 13 2020,25248,22021,0
United States,Jun 12 2020,28207,21746,0
United States,Jun 11 2020,23117,21214,0
United States,Jun 10 2020,22988,20942,0
United States,Jun  9 2020,19471,20781,0
United States,Jun  8 2020,17799,21142,0
United States,Jun  7 2020,17318,21084,0
United States,Jun  6 2020,23325,21555,0
United States,Jun  5 2020,24483,21607,0
United States,Jun  4 2020,21213,21437,0
United States,Jun  3 2020,21860,21932,0
United States,Jun  2 2020,21996,21864,0
United States,Jun  1 2020,17393,21127,0
United States,May 31 2020,20616,21317,0
United States,May 30 2020,23693,21423,0
United States,May 29 2020,23294,20996,0
United States,May 28 2020,24677,21395,0
United States,May 27 2020,21384,21538,0
United States,May 26 2020,16835,22062,0
United States,May 25 2020,18725,22708,0
United States,May 24 2020,21359,23570,0
United States,May 23 2020,20698,23230,0
United States,May 22 2020,26092,23859,0
United States,May 21 2020,25674,24007,0
United States,May 20 2020,25051,25285,0
United States,May 19 2020,21358,24290,0
United States,May 18 2020,24759,24791,0
United States,May 17 2020,18980,24019,0
United States,May 16 2020,25102,24354,0
United States,May 15 2020,27129,24467,0
United States,May 14 2020,34617,24608,0
United States,May 13 2020,18091,24041,0
United States,May 12 2020,24865,24946,0
United States,May 11 2020,19355,24754,0
United States,May 10 2020,21319,25040,0
United States,May  9 2020,25895,25933,0
United States,May  8 2020,28117,26257,0
United States,May  7 2020,30651,26569,0
United States,May  6 2020,24422,26831,0
United States,May  5 2020,23521,27248,0
United States,May  4 2020,21355,27293,0
United States,May  3 2020,27570,27684,0
United States,May  2 2020,28164,27616,0
United States,May  1 2020,30303,28386,0
United States,Apr 30 2020,32488,28943,0
United States,Apr 29 2020,27336,29024,0
United States,Apr 28 2020,23840,29619,0
United States,Apr 27 2020,24088,29900,0
United States,Apr 26 2020,27097,30129,0
United States,Apr 25 2020,33551,30205,0
United States,Apr 24 2020,34205,29348,0
United States,Apr 23 2020,33051,28754,0
United States,Apr 22 2020,31501,28594,0
United States,Apr 21 2020,25810,27716,0
United States,Apr 20 2020,25692,27642,0
United States,Apr 19 2020,27625,27520,0
United States,Apr 18 2020,27552,27494,0
United States,Apr 17 2020,30050,28154,0
United States,Apr 16 2020,31929,28434,0
United States,Apr 15 2020,25357,28844,0
United States,Apr 14 2020,25293,30002,0
United States,Apr 13 2020,24834,30735,0
United States,Apr 12 2020,27449,31269,0
United States,Apr 11 2020,32167,31247,0
United States,Apr 10 2020,32011,31291,0
United States,Apr  9 2020,34802,31256,0
United States,Apr  8 2020,33460,30579,0
United States,Apr  7 2020,30426,29874,0
United States,Apr  6 2020,28574,28893,0
United States,Apr  5 2020,27293,27092,0
United States,Apr  4 2020,32471,26948,0
United States,Apr  3 2020,31772,25261,0
United States,Apr  2 2020,30059,23629,0
United States,Apr  1 2020,28525,22040,0
United States,Mar 31 2020,23559,20006,0
United States,Mar 30 2020,15965,18294,0
United States,Mar 29 2020,26291,17586,0
United States,Mar 28 2020,20659,15397,0
United States,Mar 27 2020,20346,13791,0
United States,Mar 26 2020,18940,11981,0
United States,Mar 25 2020,14286,10189,0
United States,Mar 24 2020,11575,8881,0
United States,Mar 23 2020,11006,7719,0
United States,Mar 22 2020,10968,6499,0
United States,Mar 21 2020,9421,5254,0
United States,Mar 20 2020,7676,4103,0
United States,Mar 19 2020,6395,3146,0
United States,Mar 18 2020,5130,2346,0
United States,Mar 17 2020,3441,1691,0
United States,Mar 16 2020,2464,1273,0
United States,Mar 15 2020,2256,985,0
United States,Mar 14 2020,1360,695,0
United States,Mar 13 2020,979,525,0
United States,Mar 12 2020,794,404,0
United States,Mar 11 2020,544,303,0
United States,Mar 10 2020,515,236,0
United States,Mar  9 2020,452,173,0
United States,Mar  8 2020,224,115,0
United States,Mar  7 2020,170,87,0
United States,Mar  6 2020,131,65,0
United States,Mar  5 2020,87,47,0
United States,Mar  4 2020,76,36,0
United States,Mar  3 2020,74,27,0
United States,Mar  2 2020,43,17,0
United States,Mar  1 2020,32,12,0
United States,Feb 29 2020,12,7,0
United States,Feb 28 2020,8,7,0
United States,Feb 27 2020,11,6,0
United States,Feb 26 2020,10,5,0
United States,Feb 25 2020,5,4,0
United States,Feb 24 2020,8,4,0
United States,Feb 23 2020,1,4,0
United States,Feb 22 2020,6,4,0
United States,Feb 21 2020,7,3,0
United States,Feb 20 2020,2,2,0
United States,Feb 19 2020,3,2,0
United States,Feb 18 2020,5,2,0
United States,Feb 17 2020,6,1,0
United States,Feb 16 2020,0,1,0
United States,Feb 15 2020,2,1,0
United States,Feb 14 2020,1,0,0
United States,Feb 13 2020,2,0,0
United States,Feb 12 2020,1,0,0
United States,Feb 11 2020,0,0,0
United States,Feb 10 2020,1,0,0
United States,Feb  9 2020,0,0,0
United States,Feb  8 2020,1,1,0
United States,Feb  7 2020,1,1,0
United States,Feb  6 2020,0,1,0
United States,Feb  5 2020,0,1,0
United States,Feb  4 2020,0,1,0
United States,Feb  3 2020,4,2,0
United States,Feb  2 2020,3,1,0
United States,Feb  1 2020,4,1,0
United States,Jan 31 2020,2,0,0
United States,Jan 30 2020,0,0,0
United States,Jan 29 2020,0,0,0
United States,Jan 28 2020,1,1,0
United States,Jan 27 2020,0,1,0
United States,Jan 26 2020,1,1,0
United States,Jan 25 2020,0,1,0
United States,Jan 24 2020,1,1,0
United States,Jan 23 2020,1,1,0
