,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,mean_train_Accuracy,std_train_Accuracy
74,1.0142563978830974,0.012004653346488151,0.12241236368815105,0.00907341021209878,30,75,"{'max_depth': 30, 'n_estimators': 75}",0.8099263282128829,0.8022070579383827,0.7876749778252315,0.7999361213254991,0.009224912405846447,30,0.9999624273672603,0.9999975796485788,0.9999626574352158,0.999974221483685,1.6516983849404814e-05,0.7340374459913587,0.7205952952472395,0.7268362938070091,0.7271563450152024,0.005492399520477075,33,0.9980796927508402,0.999279884781565,0.9983197311569851,0.9985597695631302,0.0005185422226282268
45,0.7136739095052084,0.03455193169421308,0.15035136540730795,0.09662794102301087,15,50,"{'max_depth': 15, 'n_estimators': 50}",0.8115754144614306,0.8019364427798771,0.7855238869741444,0.7996785814051507,0.010754657118223003,31,0.9981550223776147,0.9975965910387526,0.9983294965000566,0.998027036638808,0.0003125943759418653,0.7364378300528085,0.7196351416226596,0.728276524243879,0.7281164986397823,0.0068606020516006,28,0.9788766202592415,0.9750360057609218,0.9795967354776765,0.9778364538326132,0.0020019196676583197
59,0.6642565727233887,0.026171515700784794,0.09228030840555827,0.009896323452498955,25,50,"{'max_depth': 25, 'n_estimators': 50}",0.8105519390709426,0.8001569291310994,0.7869064676561868,0.7992051119527429,0.00967665736234262,32,0.99993695634936,0.9999797151499937,0.9999465217590745,0.9999543977528095,1.8323067717924886e-05,0.7397983677388382,0.7172347575612098,0.7297167546807489,0.7289166266602657,0.00922891397362536,25,0.9973595775324052,0.9983197311569851,0.9978396543446951,0.9978396543446952,0.00039198107581742874
73,0.6786633332570394,0.007407848399510361,0.09600154558817546,0.00927473771974081,30,50,"{'max_depth': 30, 'n_estimators': 50}",0.8095971563981044,0.7996170818557838,0.7867889091120318,0.79866771578864,0.009335595250178826,33,0.9999474444155542,0.9999810982079488,0.9999447929366307,0.9999577785200445,1.65250006169025e-05,0.7383581373019683,0.7167546807489198,0.727796447431589,0.7276364218274924,0.008820300066903946,30,0.9975996159385502,0.9985597695631301,0.9975996159385502,0.9979196671467435,0.00045262075928086316
44,0.5997233390808105,0.17822284726128718,0.16141335169474283,0.05173465625827895,15,25,"{'max_depth': 15, 'n_estimators': 25}",0.8080333597654304,0.7992058574581906,0.7831930007025851,0.7968107393087355,0.010281481825922362,34,0.9968619936453845,0.9960680814888526,0.9967150068472894,0.9965483606605089,0.0003448693875934895,0.7378780604896783,0.7177148343734998,0.7263562169947192,0.727316370619299,0.008259553784966475,32,0.972395583293327,0.9654344695151225,0.971915506481037,0.9699151864298289,0.0031744014122063267
58,0.3439328670501709,0.01419673134071795,0.05421678225199381,0.004371201047070547,25,25,"{'max_depth': 25, 'n_estimators': 25}",0.8069070758109429,0.7952028737762387,0.7822165732652507,0.7947755076174774,0.010084384309910332,35,0.9997616558143995,0.9998720671391653,0.9998441754704068,0.9998259661413238,4.687821034963164e-05,0.7364378300528085,0.71483437349976,0.7268362938070091,0.7260361657865259,0.008837702846205211,36,0.9939990398463754,0.9954392702832453,0.9944791166586654,0.994639142262762,0.0005987609836412169
72,0.34965117772420246,0.010252923066848161,0.04800025622049967,0.0008221872526225969,30,25,"{'max_depth': 30, 'n_estimators': 25}",0.8068240913198221,0.7961977417695189,0.7784302661156628,0.7938173664016679,0.011713296364957564,36,0.9997493236926106,0.9998823248189981,0.999860887420696,0.9998308453107683,5.830506657097642e-05,0.7407585213634181,0.7181949111857897,0.7210753720595295,0.7266762682029123,0.01002685242299282,35,0.9932789246279404,0.9951992318771004,0.9949591934709554,0.9944791166586654,0.0008543029486343205
40,11.646047115325928,0.940324329911478,1.7061043580373128,0.12167042929320597,8,1000,"{'max_depth': 8, 'n_estimators': 1000}",0.7903092555369097,0.7816347737251583,0.773305174604404,0.7817497346221574,0.006942362906853364,37,0.8787272973705612,0.8775012891252689,0.8808292723294131,0.8790192862750811,0.0013742418981723403,0.7138742198751801,0.7191550648103696,0.7047527604416707,0.7125940150424067,0.005948993533506497,39,0.8024483917426788,0.7959673547767643,0.7995679308689391,0.7993278924627941,0.002651310853861548
41,15.876245896021524,1.3329840561403126,2.2846924463907876,0.8179945440874258,8,1200,"{'max_depth': 8, 'n_estimators': 1200}",0.7899293709775572,0.7816476821143203,0.7734490109407819,0.7816753546775531,0.00672810726546985,38,0.8785779288673994,0.8773422374604474,0.8809751849436623,0.8789651170905031,0.0015082026596873752,0.7119539126260201,0.7181949111857897,0.7037926068170908,0.7113138102096336,0.005897111785145849,41,0.8029284685549688,0.7959673547767643,0.7988478156505041,0.7992478796607457,0.0028559078728716204
39,12.376343488693237,0.3482407981733795,1.1763635476430256,0.17130396500875966,8,800,"{'max_depth': 8, 'n_estimators': 800}",0.7900851974108839,0.7815895943630908,0.7732286462972285,0.7816344793570678,0.00688173136445726,39,0.8787392837319261,0.8774049360877394,0.8810399581578866,0.879061392659184,0.0015013687051884277,0.7124339894383102,0.7186749879980797,0.7023523763802209,0.7111537846055369,0.006724884426132405,42,0.8029284685549688,0.7964474315890543,0.7988478156505041,0.7994079052648425,0.0026753486153465187
38,7.011010964711507,0.5390591665882836,0.9716748396555582,0.08254242312165823,8,600,"{'max_depth': 8, 'n_estimators': 600}",0.7900953399597986,0.7816080349190367,0.7729584921526215,0.7815539556771522,0.006996193327559892,40,0.8784587567745993,0.8769316997574808,0.8814309025398245,0.8789404530239682,0.0018681059707012378,0.7114738358137302,0.7181949111857897,0.7033125300048008,0.7109937590014402,0.00608518269861787,45,0.8029284685549688,0.7957273163706193,0.799327892462794,0.7993278924627939,0.0029398580686307834
37,5.447698672612508,0.08125689425348964,0.6667807102203369,0.061933293370869676,8,500,"{'max_depth': 8, 'n_estimators': 500}",0.7903189370608737,0.7814005786646456,0.7725601761441904,0.78142656395657,0.007250007068986328,41,0.878366784501819,0.8768777604972371,0.8814447331193742,0.8788964260394767,0.0019017009669673526,0.7124339894383102,0.7177148343734998,0.7018722995679308,0.7106737077932469,0.006586370820053375,46,0.8012481997119539,0.7962073931829092,0.7990878540566491,0.798847815650504,0.002064888446241653
36,4.354384263356526,0.05702687112900467,0.554923931757609,0.020976430634161745,8,400,"{'max_depth': 8, 'n_estimators': 400}",0.790517177789662,0.7816900953929959,0.7717534018215582,0.7813202250014054,0.0076647428843690715,42,0.8786436233479566,0.8770534088575181,0.8815175741716693,0.879071535459048,0.001847435081246721,0.7119539126260201,0.7172347575612098,0.7018722995679308,0.7103536565850536,0.0063729581538613895,47,0.800048007681229,0.7938070091214594,0.799327892462794,0.7977276364218274,0.0027878462778339465
35,3.363738695780436,0.08145442126062867,0.4293542702992757,0.02481988912535171,8,300,"{'max_depth': 8, 'n_estimators': 300}",0.79001373854353,0.7808210841940463,0.7716422974719842,0.7808257067365202,0.007500110123069029,43,0.8786991755227436,0.8765797115079411,0.8814793095682485,0.878919398866311,0.002006304900213488,0.7119539126260201,0.7114738358137302,0.7023523763802209,0.7085933749399903,0.004417402381770605,50,0.8012481997119539,0.7918867018722996,0.7995679308689391,0.7975676108177309,0.004075158130339846
43,0.1316660245259603,0.007579769220629711,0.02333656946818034,0.0009521393808092235,15,10,"{'max_depth': 15, 'n_estimators': 10}",0.7924368856842533,0.7820506082617379,0.7678513801834098,0.7807796247098003,0.01007714640742352,44,0.9927960815662671,0.9918875583102996,0.9917431440088351,0.9921422612951339,0.0004660647900777548,0.7220355256841094,0.7095535285645703,0.7090734517522803,0.7135541686669867,0.006000426711234663,37,0.957033125300048,0.9529524723955833,0.9519923187710033,0.9539926388222115,0.0021853897077528804
34,2.275872786839803,0.07830562673380405,0.2696691354115804,0.030622867556568147,8,200,"{'max_depth': 8, 'n_estimators': 200}",0.7899293709775574,0.7812493661058894,0.7704261428073533,0.7805349599636001,0.007978168518604016,45,0.8782838020000627,0.8763146253999055,0.8800678989252027,0.8782221087750569,0.0015328883584990614,0.7109937590014402,0.7177148343734998,0.699471915506481,0.7093935029604737,0.0075331107671242495,49,0.800048007681229,0.7935669707153145,0.7983677388382141,0.7973275724115858,0.0027461997602385066
71,0.141037384668986,0.014934002648621462,0.024955908457438152,0.0038092369813451815,30,10,"{'max_depth': 30, 'n_estimators': 10}",0.79856252420381,0.7761035289691913,0.7668804849128592,0.7805155126952869,0.01330506429166069,46,0.998202276302226,0.9987094916731843,0.9982432858875302,0.9983850179543134,0.00023004759246744643,0.7268362938070091,0.7095535285645703,0.7033125300048008,0.7132341174587934,0.009949938586468105,38,0.9793566970715314,0.9829572731637062,0.9767162746039366,0.9796767482797247,0.0025579080433902686
57,0.13564308484395346,0.00871144618795394,0.026329676310221355,0.004369735654176649,25,10,"{'max_depth': 25, 'n_estimators': 10}",0.7968701016098991,0.7763446392381836,0.7682358657748813,0.7804835355409881,0.012050662842568179,47,0.9981978966701889,0.9987048814800011,0.9981703295804055,0.9983577025768652,0.00024575038717744514,0.7234757561209794,0.7090734517522803,0.7009121459433509,0.7111537846055369,0.009328271174133257,42,0.9795967354776765,0.9829572731637062,0.9759961593855017,0.9795167226756281,0.002842425935082674
33,1.0793464183807373,0.06449614162243503,0.16959746678670248,0.03535748211785637,8,100,"{'max_depth': 8, 'n_estimators': 100}",0.7892903903959283,0.78013832261015,0.7698212925723285,0.779750001859469,0.007952967465891048,48,0.8776371147537356,0.8758652468193701,0.8802776627150395,0.8779266747627151,0.0018129602419228047,0.7109937590014402,0.7186749879980797,0.7004320691310609,0.7100336053768603,0.007478522288716892,48,0.7971675468074892,0.7950072011521844,0.799327892462794,0.7971675468074894,0.001763914841178452
32,0.8208800951639811,0.022741644313554757,0.11579958597819011,0.017936377132306874,8,75,"{'max_depth': 8, 'n_estimators': 75}",0.7895517915429583,0.7800336724551571,0.7681385918422668,0.7792413519467941,0.008759836725890976,49,0.8780898304022069,0.8755081873573289,0.8796849071265057,0.8777609749620138,0.0017209215424623405,0.7133941430628901,0.7196351416226596,0.701392222755641,0.7114738358137301,0.00757041201633211,40,0.800048007681229,0.7957273163706193,0.7990878540566491,0.7982877260361657,0.0018524302932933388
31,0.5821576913197836,0.012869451157657521,0.06723531087239583,0.00516248296507875,8,50,"{'max_depth': 8, 'n_estimators': 50}",0.7908721670016781,0.7776354781543953,0.7656707844428092,0.7780594765329608,0.01029278879243082,50,0.8768408284972975,0.8736471676240886,0.8779363761069362,0.8761414574094407,0.001819554394392664,0.7124339894383102,0.7191550648103696,0.7018722995679308,0.7111537846055369,0.007113493605662619,42,0.7954872779644743,0.7933269323091695,0.7978876620259241,0.7955672907665227,0.0018627695194147187
30,0.26066335042317706,0.03214975423204049,0.049011786778767906,0.011505893672579719,8,25,"{'max_depth': 8, 'n_estimators': 25}",0.7882019104873955,0.7748491101509728,0.7625271306679354,0.7751927171021012,0.010484500592051317,51,0.8731417682280285,0.8691175375667354,0.87349007529137,0.8719164603620446,0.001984238907519235,0.7090734517522803,0.7157945271243399,0.6937109937590015,0.7061929908785406,0.009242777454436624,51,0.7887662025924148,0.7820451272203552,0.7887662025924148,0.7865258441350615,0.003168345314966147
29,0.111328919728597,0.01604740739315363,0.031334877014160156,0.013961515012409992,8,10,"{'max_depth': 8, 'n_estimators': 10}",0.7796508197023623,0.7693068010614383,0.7528499879214359,0.7672692028950788,0.011035850692267826,52,0.865357087535475,0.8614498642643871,0.8618527951486016,0.8628865823161546,0.0017546386813967721,0.7076332213154105,0.6956313010081613,0.6841094575132021,0.695791326612258,0.009604202968874197,52,0.7806048967834853,0.7815650504080653,0.7786845895343255,0.7802848455752921,0.0011975219672824336
25,12.482565959294638,0.4589805188099166,1.0544164180755615,0.20968500843426588,5,800,"{'max_depth': 5, 'n_estimators': 800}",0.7622563483135707,0.7491415921207192,0.7440091243870819,0.7518023549404572,0.007683316963526965,53,0.7804321037170628,0.789023498846184,0.7902851934656043,0.7865802653429504,0.004377814284297252,0.6941910705712914,0.6749879980796928,0.6591454632741238,0.6761081773083694,0.014329218374475037,55,0.6987518002880461,0.7073931829092654,0.7066730676908305,0.7042726836293807,0.003914907928540582
24,6.091407934824626,0.46337327714565274,1.062792460123698,0.37878677363005414,5,600,"{'max_depth': 5, 'n_estimators': 600}",0.7621268003024324,0.748999599839936,0.7441243778617438,0.7517502593347042,0.007602473245612047,54,0.7800757399734086,0.7891540825680988,0.7904897707881102,0.7865731977765392,0.004626642712440369,0.6932309169467115,0.6749879980796928,0.6591454632741238,0.675788126100176,0.013926825234139602,57,0.699711953912626,0.7083533365338455,0.7061929908785406,0.7047527604416707,0.0036718815508349815
26,10.21786085764567,2.018663346604181,1.0982242425282795,0.06649706855702081,5,1000,"{'max_depth': 5, 'n_estimators': 1000}",0.7622973795341805,0.7488778921706931,0.7440321750820145,0.7517358155956293,0.007725724050079114,55,0.7806178923182177,0.7889891529069687,0.7901755861226731,0.7865942104492865,0.004253562408667062,0.6922707633221316,0.6754680748919827,0.6591454632741238,0.6756281004960792,0.013523820514512166,59,0.6989918386941911,0.7083533365338455,0.7049927988478156,0.704112658025284,0.0038721567074933077
27,10.156118710835775,0.15382270735451375,1.3920722007751465,0.030753388650970853,5,1200,"{'max_depth': 5, 'n_estimators': 1200}",0.7622439006399027,0.7487506523346666,0.7438330170777989,0.7516091900174562,0.007783254959517508,56,0.780773830269435,0.7887178430381357,0.7901800810610267,0.7865572514561991,0.004132836433293,0.6951512241958714,0.6735477676428229,0.6591454632741238,0.6759481517042727,0.01479696112090492,56,0.6992318771003361,0.7083533365338455,0.7052328372539607,0.7042726836293808,0.0037852060081660795
23,4.955873012542725,0.10096568180358015,0.7652731736501058,0.22601025041969264,5,500,"{'max_depth': 5, 'n_estimators': 500}",0.7620087779150608,0.7490092811318075,0.7435780763918471,0.7515320451462385,0.007732871108190399,57,0.7798100807143135,0.7893743345474278,0.7903582650275587,0.7865142267630999,0.004757535109698966,0.6917906865098415,0.6735477676428229,0.6591454632741238,0.674827972475596,0.013358064813384035,60,0.6985117618819011,0.7078732597215555,0.7078732597215555,0.7047527604416707,0.004413052402988534
22,4.335221529006958,0.33476884797282896,0.5896553993225098,0.21178287558764008,5,400,"{'max_depth': 5, 'n_estimators': 400}",0.761991719991886,0.7489548814917673,0.743566551044381,0.7515043841760113,0.007735058096689893,58,0.7799790423081675,0.7890044817993032,0.7905070590125474,0.786496861040006,0.004649437624506779,0.6903504560729716,0.6745079212674028,0.6586653864618339,0.6745079212674027,0.012935375501975465,62,0.6985117618819011,0.7085933749399904,0.7064330292846855,0.7045127220355257,0.004334006261466103
20,1.9738417466481526,0.08627585110559244,0.2795854409535726,0.01801890292490476,5,200,"{'max_depth': 5, 'n_estimators': 200}",0.7629644826378004,0.748255062393621,0.7432424582736321,0.7514873344350178,0.008369597687161476,59,0.7798968665807336,0.7882540576039028,0.7898546014222907,0.7860018418689757,0.004366041500885332,0.6927508401344215,0.6735477676428229,0.6577052328372539,0.6746679468714994,0.014329218374475037,61,0.6987518002880461,0.7085933749399904,0.7037926068170908,0.7037125940150424,0.004018204362134669
21,2.6028295358022056,0.06695725487146754,0.40710655848185223,0.0007016575835090496,5,300,"{'max_depth': 5, 'n_estimators': 300}",0.7623305733306286,0.7482264795319049,0.7433291288865777,0.7512953939163703,0.008055118429275178,60,0.7800455435630473,0.7893557785198652,0.790254535680936,0.7865519525879495,0.004615333856334416,0.6932309169467115,0.6697071531445031,0.6581853096495439,0.6737077932469195,0.014584294946473926,63,0.7004320691310609,0.7093134901584254,0.7042726836293807,0.7046727476396223,0.0036368437117502315
19,1.0864747365315754,0.18313205194490104,0.16733646392822266,0.0054420872145993174,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.7624435244435429,0.7479826031795207,0.7422024109182843,0.7508761795137827,0.008512941410474295,61,0.778365147902479,0.7877468210989179,0.7893081782752485,0.7851400490922152,0.00483279930309792,0.6917906865098415,0.6802688430148823,0.6586653864618339,0.6769083053288526,0.013730532545439331,53,0.6970715314450312,0.7049927988478156,0.7033125300048008,0.7017922867658825,0.0034078315632976182
17,0.4289869467417399,0.02223671453254241,0.06400585174560547,0.007786034901343034,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.7597783392037178,0.7466502730124308,0.742812793320093,0.7497471351787471,0.007264083022663246,62,0.7781092851887298,0.7887565686608748,0.7882625864612918,0.7850428134369656,0.0049068907385558524,0.6841094575132021,0.6793086893903024,0.6663466154584734,0.6765882541206594,0.007502453621207222,54,0.6965914546327412,0.7040326452232357,0.7071531445031205,0.7025924147863658,0.004430426692241062
