,p2,p3,p4,p5,p6,target_Asian,target_AIAN,target_Black,target_White,target_Other,target_NHPI
14859,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
14860,0.0,0.53,0.0,0.0,0.0,0,0,0,0,0,0
14861,0.0,0.619,0.0,0.0,0.0,0,0,0,0,0,0
14862,0.0,0.601,0.0,0.0,0.0,0,0,0,0,0,0
14863,0.0,0.601,0.0,0.0,0.0,0,0,0,0,0,0
14864,0.0,0.601,0.0,0.0,0.0,0,0,0,0,0,0
14865,0.601,0.601,0.601,0.0,0.0,0,0,0,0,0,0
14866,0.601,0.601,0.601,0.0,0.0,0,0,0,0,0,0
14867,0.601,0.601,0.601,0.0,0.0,0,0,0,0,0,0
14868,0.601,0.601,0.601,0.0,0.0,0,0,0,0,0,0
14869,0.601,0.601,0.601,0.0,0.0,0,0,0,0,0,0
14870,0.619,0.619,0.619,0.0,0.0,0,0,0,0,0,0
14871,0.637,0.637,0.637,0.0,0.0,0,0,0,0,0,0
14872,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14873,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14874,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14875,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14876,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14877,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14878,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14879,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14880,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14881,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14882,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14883,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14884,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14885,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14886,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14887,0.661,0.661,0.661,0.0,0.661,0,0,0,0,0,0
14888,0.661,0.661,0.661,0.0,0.661,0,0,0,0,0,0
14889,0.661,0.661,0.661,0.0,0.661,0,0,0,0,0,0
14890,0.661,0.661,0.661,0.0,0.661,0,0,0,0,0,0
14891,0.661,0.661,0.661,0.0,0.661,0,0,0,0,0,0
14892,0.661,0.661,0.661,0.0,0.661,0,0,0,0,0,0
14893,0.661,0.661,0.661,0.0,0.661,0,0,0,0,0,0
14894,0.661,0.661,0.661,0.0,0.661,0,0,0,0,0,0
14895,0.661,0.661,0.661,0.0,0.661,0,0,0,0,0,0
14896,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14897,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14898,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14899,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14900,0.637,0.637,0.637,0.0,0.637,0,0,0,0,0,0
14901,0.661,0.661,0.661,0.0,0.661,0,0,0,0,0,0
14902,0.661,0.661,0.661,0.0,0.661,0,0,0,0,0,0
14903,0.661,0.661,0.661,0.0,0.661,0,0,0,0,0,0
14904,0.661,0.661,0.661,0.0,0.661,0,0,0,0,0,0
14905,0.661,0.661,0.661,0.0,0.661,0,0,0,1,0,0
14906,0.661,0.661,0.661,0.0,0.661,0,0,0,1,0,0
14907,0.661,0.661,0.661,0.0,0.661,0,0,0,1,0,0
14908,0.661,0.661,0.661,0.0,0.661,0,0,0,0,0,0
14909,0.661,0.661,0.661,0.0,0.661,0,0,0,0,1,0
14910,0.661,0.661,0.58,0.0,0.58,0,0,0,0,0,0
14911,0.661,0.661,0.58,0.0,0.58,0,0,0,0,0,0
14912,0.661,0.6544229401082001,0.58,0.0,0.58,0,0,0,0,0,0
14913,0.6544229401082001,0.6479113230557653,0.58,0.0,0.58,0,0,0,0,0,0
14914,0.6479113230557653,0.6414644976755639,0.58,0.0,0.58,0,0,0,0,0,0
14915,0.6414644976755639,0.6350818192796857,0.58,0.0,0.58,0,0,0,0,0,0
